ccusto_duplicata,id_fornecedor,documento,parcela,valor_orig,valor_a_pagar,data_emissao,data_movimento,data_pgto,observacao,doc_origem
4.04.05,10.0,SAL040518_01,6.0,-11533.0475,-11533.0475,2018-06-05,2018-06-05,2018-06-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,6.0,-21418.5168,-21418.5168,2018-06-20,2018-06-20,2018-07-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_01,7.0,-9170.3221,-9170.3221,2018-07-05,2018-07-05,2018-07-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,7.0,-17030.5982,-17030.5982,2018-07-21,2018-07-21,2018-08-05 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_01,8.0,-10618.1423,-10618.1423,2018-08-05,2018-08-05,2018-08-20 00:00:00,,CTAS_PAGAR
4.04.05,10.0,SAL040518_02,8.0,-19719.4071,-19719.4071,2018-08-21,2018-08-21,2018-09-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,2.0,-30638.221,-30638.221,2017-02-05,2017-02-05,2017-02-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,2.0,-56899.5534,-56899.5534,2017-02-18,2017-02-18,2017-03-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,3.0,-29863.6451,-29863.6451,2017-03-05,2017-03-05,2017-03-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,3.0,-55461.0552,-55461.0552,2017-03-21,2017-03-21,2017-04-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,4.0,-32413.8136,-32413.8136,2017-04-05,2017-04-05,2017-04-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,4.0,-60197.0823,-60197.0823,2017-04-20,2017-04-20,2017-05-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,5.0,-31435.8848,-31435.8848,2017-05-05,2017-05-05,2017-05-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,5.0,-58380.9288,-58380.9288,2017-05-21,2017-05-21,2017-06-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,6.0,-34095.8204,-34095.8204,2017-06-05,2017-06-05,2017-06-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,6.0,-63320.8093,-63320.8093,2017-06-20,2017-06-20,2017-07-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,7.0,-27380.3713,-27380.3713,2017-07-05,2017-07-05,2017-07-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,7.0,-50849.2609,-50849.2609,2017-07-21,2017-07-21,2017-08-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,8.0,-30444.0432,-30444.0432,2017-08-05,2017-08-05,2017-08-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,8.0,-56538.9374,-56538.9374,2017-08-21,2017-08-21,2017-09-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,9.0,-29962.8359,-29962.8359,2017-09-05,2017-09-05,2017-09-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,9.0,-55645.2668,-55645.2668,2017-09-20,2017-09-20,2017-10-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,10.0,-56721.1203,-56721.1203,2017-10-05,2017-10-05,2017-10-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,10.0,-105339.2235,-105339.2235,2017-10-21,2017-10-21,2017-11-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,11.0,-29713.9745,-29713.9745,2017-11-05,2017-11-05,2017-11-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,11.0,-55183.0954,-55183.0954,2017-11-20,2017-11-20,2017-12-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_01,12.0,-49770.2217,-49770.2217,2017-12-05,2017-12-05,2017-12-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_02,12.0,-92430.4117,-92430.4117,2017-12-21,2017-12-21,2018-01-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041017_03,12.0,-64653.8825,-64653.8825,2017-12-20,2017-12-20,2017-12-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_01,1.0,-77188.2871,-77188.2871,2018-01-05,2018-01-05,2018-01-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_02,1.0,-143349.6761,-143349.6761,2018-01-21,2018-01-21,2018-02-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_01,2.0,-75538.312,-75538.312,2018-02-05,2018-02-05,2018-02-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_02,2.0,-140285.4365,-140285.4365,2018-02-20,2018-02-20,2018-03-07 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_01,3.0,-45766.6503,-45766.6503,2018-03-05,2018-03-05,2018-03-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_02,3.0,-84995.2078,-84995.2078,2018-03-21,2018-03-21,2018-04-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_01,4.0,-41365.7687,-41365.7687,2018-04-05,2018-04-05,2018-04-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_02,4.0,-76822.1419,-76822.1419,2018-04-20,2018-04-20,2018-05-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_01,5.0,-36678.0762,-36678.0762,2018-05-05,2018-05-05,2018-05-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_02,5.0,-68116.4271,-68116.4271,2018-05-21,2018-05-21,2018-06-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_01,6.0,-40310.3371,-40310.3371,2018-06-05,2018-06-05,2018-06-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_02,6.0,-74862.0546,-74862.0546,2018-06-20,2018-06-20,2018-07-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_01,7.0,-32052.1333,-32052.1333,2018-07-05,2018-07-05,2018-07-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_02,7.0,-59525.3904,-59525.3904,2018-07-21,2018-07-21,2018-08-05 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_01,8.0,-37112.5581,-37112.5581,2018-08-05,2018-08-05,2018-08-20 00:00:00,,CTAS_PAGAR
4.04.10,10.0,SAL041018_02,8.0,-68923.3222,-68923.3222,2018-08-21,2018-08-21,2018-09-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,2.0,-10138.6885,-10138.6885,2017-02-05,2017-02-05,2017-02-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,2.0,-18828.9929,-18828.9929,2017-02-18,2017-02-18,2017-03-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,3.0,-10010.823,-10010.823,2017-03-05,2017-03-05,2017-03-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,3.0,-18591.5284,-18591.5284,2017-03-21,2017-03-21,2017-04-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,4.0,-10431.7998,-10431.7998,2017-04-05,2017-04-05,2017-04-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,4.0,-19373.3425,-19373.3425,2017-04-20,2017-04-20,2017-05-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,5.0,-10270.3652,-10270.3652,2017-05-05,2017-05-05,2017-05-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,5.0,-19073.5354,-19073.5354,2017-05-21,2017-05-21,2017-06-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,6.0,-10709.4622,-10709.4622,2017-06-05,2017-06-05,2017-06-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,6.0,-19889.0012,-19889.0012,2017-06-20,2017-06-20,2017-07-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,7.0,-9600.889,-9600.889,2017-07-05,2017-07-05,2017-07-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,7.0,-17830.2225,-17830.2225,2017-07-21,2017-07-21,2017-08-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,8.0,-10106.634,-10106.634,2017-08-05,2017-08-05,2017-08-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,8.0,-18769.4631,-18769.4631,2017-08-21,2017-08-21,2017-09-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,9.0,-10027.1972,-10027.1972,2017-09-05,2017-09-05,2017-09-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,9.0,-18621.9377,-18621.9377,2017-09-20,2017-09-20,2017-10-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,10.0,-15703.4032,-15703.4032,2017-10-05,2017-10-05,2017-10-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,10.0,-29163.4632,-29163.4632,2017-10-21,2017-10-21,2017-11-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,11.0,-11633.1279,-11633.1279,2017-11-05,2017-11-05,2017-11-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,11.0,-21604.3804,-21604.3804,2017-11-20,2017-11-20,2017-12-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_01,12.0,-14655.826,-14655.826,2017-12-05,2017-12-05,2017-12-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_02,12.0,-27217.9626,-27217.9626,2017-12-21,2017-12-21,2018-01-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043017_03,12.0,-20875.3783,-20875.3783,2017-12-20,2017-12-20,2017-12-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_01,1.0,-18788.0315,-18788.0315,2018-01-05,2018-01-05,2018-01-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_02,1.0,-34892.0584,-34892.0584,2018-01-21,2018-01-21,2018-02-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_01,2.0,-18539.362,-18539.362,2018-02-05,2018-02-05,2018-02-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_02,2.0,-34430.2437,-34430.2437,2018-02-20,2018-02-20,2018-03-07 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_01,3.0,-14052.4435,-14052.4435,2018-03-05,2018-03-05,2018-03-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_02,3.0,-26097.3952,-26097.3952,2018-03-21,2018-03-21,2018-04-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_01,4.0,-13389.1821,-13389.1821,2018-04-05,2018-04-05,2018-04-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_02,4.0,-24865.6238,-24865.6238,2018-04-20,2018-04-20,2018-05-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_01,5.0,-12682.695,-12682.695,2018-05-05,2018-05-05,2018-05-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_02,5.0,-23553.5764,-23553.5764,2018-05-21,2018-05-21,2018-06-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_01,6.0,-13230.1168,-13230.1168,2018-06-05,2018-06-05,2018-06-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_02,6.0,-24570.217,-24570.217,2018-06-20,2018-06-20,2018-07-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_01,7.0,-11985.5143,-11985.5143,2018-07-05,2018-07-05,2018-07-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_02,7.0,-22258.8122,-22258.8122,2018-07-21,2018-07-21,2018-08-05 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_01,8.0,-12748.1762,-12748.1762,2018-08-05,2018-08-05,2018-08-20 00:00:00,,CTAS_PAGAR
4.04.30,10.0,SAL043018_02,8.0,-23675.1844,-23675.1844,2018-08-21,2018-08-21,2018-09-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,2.0,-6605.445,-6605.445,2017-02-05,2017-02-05,2017-02-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,2.0,-12267.255,-12267.255,2017-02-18,2017-02-18,2017-03-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,3.0,-6605.445,-6605.445,2017-03-05,2017-03-05,2017-03-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,3.0,-12267.255,-12267.255,2017-03-21,2017-03-21,2017-04-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,4.0,-6605.445,-6605.445,2017-04-05,2017-04-05,2017-04-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,4.0,-12267.255,-12267.255,2017-04-20,2017-04-20,2017-05-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,5.0,-6605.445,-6605.445,2017-05-05,2017-05-05,2017-05-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,5.0,-12267.255,-12267.255,2017-05-21,2017-05-21,2017-06-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,6.0,-6605.445,-6605.445,2017-06-05,2017-06-05,2017-06-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,6.0,-12267.255,-12267.255,2017-06-20,2017-06-20,2017-07-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,7.0,-6605.445,-6605.445,2017-07-05,2017-07-05,2017-07-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,7.0,-12267.255,-12267.255,2017-07-21,2017-07-21,2017-08-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,8.0,-6605.445,-6605.445,2017-08-05,2017-08-05,2017-08-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,8.0,-12267.255,-12267.255,2017-08-21,2017-08-21,2017-09-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,9.0,-6605.445,-6605.445,2017-09-05,2017-09-05,2017-09-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,9.0,-12267.255,-12267.255,2017-09-20,2017-09-20,2017-10-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,10.0,-9301.595,-9301.595,2017-10-05,2017-10-05,2017-10-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,10.0,-17274.3907,-17274.3907,2017-10-21,2017-10-21,2017-11-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,11.0,-9301.595,-9301.595,2017-11-05,2017-11-05,2017-11-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,11.0,-17274.3907,-17274.3907,2017-11-20,2017-11-20,2017-12-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_01,12.0,-9301.595,-9301.595,2017-12-05,2017-12-05,2017-12-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_02,12.0,-17274.3907,-17274.3907,2017-12-21,2017-12-21,2018-01-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043417_03,12.0,-13661.3446,-13661.3446,2017-12-20,2017-12-20,2017-12-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043418_01,1.0,-9301.595,-9301.595,2018-01-05,2018-01-05,2018-01-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043418_02,1.0,-17274.3907,-17274.3907,2018-01-21,2018-01-21,2018-02-05 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043418_01,2.0,-9301.595,-9301.595,2018-02-05,2018-02-05,2018-02-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043418_02,2.0,-17274.3907,-17274.3907,2018-02-20,2018-02-20,2018-03-07 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043418_01,3.0,-9301.595,-9301.595,2018-03-05,2018-03-05,2018-03-20 00:00:00,,CTAS_PAGAR
4.04.34,10.0,SAL043418_02,3.0,-17274.3907,-17274.3907,2018-03-21,2018-03-21,2018-04-05 00:00:00,,CTAS_PAGAR
